project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,"gl(n(), chunk_size, length = n())"
1200 BELMONT PKWY,New Two Story SFR with attached garage and covered porch 3 Bed 4 Bath SFR,2023-09-22,1,2,1200 BELMONT PKWY,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13213651,1200 BELMONT PKWY,NA,Austin,Texas,United States,2
1301 WEBBERVILLE RD,"New 2 story Secondary Dwelling Unit [3bed 2bath.
Modular Home.",2023-09-14,1,2,1301 WEBBERVILLE RD,78721,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13035816,1301 WEBBERVILLE ROAD,NA,Austin,Texas,United States,2
1117 GILLESPIE PL,"New ADU
complete app received 9/15",2023-09-21,1,2,1117 GILLESPIE PL,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13028082,1117 GILLESPIE PLACE,NA,Austin,Texas,United States,2
8119 TWO COVES DR,New 2-story SFR 5 bedrooms 4.5 bathrooms attached garage covered porch and patio,2023-09-27,1,2,8119 TWO COVES DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13206455,8119 TWO COVES DRIVE,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 19 UNIT 19101,"New 2-story single family residential  BLDG 19 - Unit 19101 with 2  bedrooms 2.5 bathrooms and attached carport.

Revision: Rev 1: Deleted EV Chargers 
Revised calculations to reflect deleted EV chargers 

Revisions were made to sheet E601 

Rev 2: Adding house panel to MC3
The original electrical plan did not include a source of power for the lift station for the detention pond. We added a house panel to MC3 to run power to the lift station. 

Revisions were made to sheets MEP002 E601 E701 

Rev 3: Modify foundation design to utilitze conventional reinforcement 
The original structural plan called for post tension tendons but we would like to revise the plan to use rebar instead. 

Revisions were made to sheets S001 S111 S121 S301",2023-08-18,1,2,401 NORTH BLUFF DR BLDG 19,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13193199,401 NORTH BLUFF DRIVE BLDG 19,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR UNIT 2101,New 2-Story SFR Condo 2 bed/2.5 bath with attached carport,2023-08-18,1,2,401 NORTH BLUFF DR UNIT 2101,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13193229,401 NORTH BLUFF DRIVE UNIT 2101,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 12,New construction two-family residential 2-story Duplex Bldg. 12: Unit 12101 & 12102; 2 bedroom (both units) 2.5 bath (both units) with attached 1-car carport (both units). Revision #1: remove EV chargers; adding house panel to MC3; modify foundation design.,2023-08-30,2,2,401 NORTH BLUFF DR BLDG 12,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13190961,401 NORTH BLUFF DRIVE BLDG 12,NA,Austin,Texas,United States,2
9106 COUNTRY CANYON CV,New 2-story SFR w/ basement 5 bedrooms 7 bathrooms attached garage,2023-08-27,1,3,9106 COUNTRY CANYON CV,78759,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13070406,9106 COUNTRY CANYON CV,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 13 *PRODUCTION BUILDER,"New 2-story Duplex with attached garages Unit 13101 and 13102

Revision: 
 Rev 1: Deleted EV Chargers 
Revised calculations to reflect deleted EV chargers 

Revisions were made to sheet E601 

Rev 2: Adding house panel to MC3
The original electrical plan did not include a source of power for the lift station for the detention pond. We added a house panel to MC3 to run power to the lift station. 

Revisions were made to sheets MEP002 E601 E701 

Rev 3: Modify foundation design to utilitze conventional reinforcement 
The original structural plan called for post tension tendons but we would like to revise the plan to use rebar instead. 

Revisions were made to sheets S001 S111 S121 S301",2023-08-18,2,2,401 NORTH BLUFF DR BLDG 13,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13193146,401 NORTH BLUFF DRIVE BLDG 13,NA,Austin,Texas,United States,2
4414 BANISTER LN,New 2-story 4 bedroom 3 bathroom single family residence w/ attached carport covered front porch covered side porch and 2nd floor uncovered balcony.,2023-08-31,1,2,4414 BANISTER LN,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12869856,4414 BANISTER LANE,NA,Austin,Texas,United States,2
1402 RUTH AVE,Expedited Review: New Construction of a 2-Story Single Family Res [4bed 4.5bath] with attached Garage and Habitable Attic.,2023-08-29,1,2,1402 RUTH AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13153401,1402 RUTH AVE,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR,"New 2-story Duplex Unit 6101 2bdr 2.5 Bath
New 2-story Duplex Unit 6102 2 Bdr 2.5 Bath",2023-08-18,1,2,401 NORTH BLUFF DR,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13191761,401 NORTH BLUFF DRIVE,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR,"New 2-story Duplex Unit 5101 - 2Bdr 2.5 Bath
New 2-story Duplex Unit 5102 - 2Bdr 2.5 Bath",2023-08-10,1,2,401 NORTH BLUFF DR,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13189369,401 NORTH BLUFF DRIVE,NA,Austin,Texas,United States,2
2004 PEQUENO ST,"BUILD NEW TWO STORY sfr 3 BRM 3.5 BATH office W/NEW DRIVEWAY FRONT PORCHES & REAR PATIO
Expired relocation permit BP 3.33-018779 added into current scope of work.",2023-09-11,1,2,2004 PEQUENO ST,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13137425,2004 PEQUENO STREET,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 17,"Building 17 Units 17101 & 17102. New 2-story 4 bedroom 5 bathroom condo duplex. Each unit contains 2 bedrooms 2.5 bathrooms with an attached carport. 
Revision 1: Modify foundation design to utilize conventional reinforcement remove EV chargers and add a house panel.",2023-08-15,2,2,401 NORTH BLUFF DR BLDG 17,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13190789,401 NORTH BLUFF DRIVE BLDG 17,NA,Austin,Texas,United States,2
5202 HUISACHE ST,Expedited Review - New Construction of a 2-Story Single Family Res. [3bed 4.5bath] with attached 1-car Garage.,2023-08-12,1,2,5202 HUISACHE ST,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13187474,5202 HUISACHE STREET,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 14,"Building 14 Units 14101 & 14102. New 2-story 4 bedroom 5 bathroom condo duplex. Each unit contains 2 bedrooms 2.5 bathrooms with an attached carport. 
Revision 1: Modify foundation design to utilize conventional reinforcement remove EV chargers and add a house panel.",2023-08-15,2,2,401 NORTH BLUFF DR BLDG 14,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13190799,401 NORTH BLUFF DRIVE BLDG 14,NA,Austin,Texas,United States,2
7500 SPARKLING LIGHT DR,Paramount 2080- B Elevation - Left Swing - New 1-story single-family residence with (4) bedrooms (2) bathrooms attached 2 car garage covered entry porch and patio.,2023-09-05,1,1,7500 SPARKLING LIGHT DR,78617,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13203826,7500 SPARKLING LIGHT DRIVE,NA,Austin,Texas,United States,2
5607 WOODVIEW AVE,New 2-Story SFR 4 Bed/5 Bath attached garage covered porch covered patio and balcony,2023-08-16,1,2,5607 WOODVIEW AVE,78756,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13190344,5607 WOODVIEW AVE,NA,Austin,Texas,United States,2
5202 HUISACHE ST,New 2-Story Secondary Apartment [1bed 1.5bath].,2023-08-12,1,2,5202 HUISACHE ST,78751,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13187475,5202 HUISACHE STREET,NA,Austin,Texas,United States,2
12600 OXFORD VINEYARD LN,2898JL NEW 2 STORY 5 BEDROOM 3 1/2 BATH SINGLE FAMILY RESIDENTIAL HOME WITH ATTACHED GARAGE COVERED FRONT PORCH AND REAR PATIO,2023-08-21,1,2,12600 OXFORD VINEYARD LN,78653,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13196542,12600 OXFORD VINEYARD LANE,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 7,New 2-story Duplex Unit 7101 & 7102 with 4 bedrooms 5 bathrooms attached carports,2023-08-18,2,2,401 NORTH BLUFF DR BLDG 7,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13191210,401 NORTH BLUFF DRIVE BLDG 7,NA,Austin,Texas,United States,2
3308 ROSEFINCH TRL,Expedited Review - New Construction of a 2-Story SF Res [5bed 6bath] with attached 3-Car Garage,2023-08-09,1,2,3308 ROSEFINCH TRL,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12838371,3308 ROSEFINCH TRAIL,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 8,New 2-story Duplex Unit 8101 & 8102 with 4 bedrooms 5 bathrooms attached carports,2023-08-18,2,2,401 NORTH BLUFF DR BLDG 8,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13191246,401 NORTH BLUFF DRIVE BLDG 8,NA,Austin,Texas,United States,2
401 NORTH BLUFF DRIVE,New 2-story Duplex Unit 11101 and Unit 11102,2023-08-10,2,2,401 NORTH BLUFF DR,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13189360,401 NORTH BLUFF DRIVE,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR,New construction Single family residential 2-story 2 bedroom (both units) 2.5 bath (both units) with attached 1-car carport. Units 4101 and 4102,2023-08-22,2,2,401 NORTH BLUFF DR,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13193299,401 NORTH BLUFF DRIVE,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 10,"Building 10 Units 10101 & 10102. New 2-story 4 bedroom 5 bathroom condo duplex. Each unit contains 2 bedrooms 2.5 bathrooms with an attached carport. 
Revision 1: Modify foundation design to utilize conventional reinforcement and remove EV chargers.",2023-08-15,2,2,401 NORTH BLUFF DR BLDG 10,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13190793,401 NORTH BLUFF DRIVE BLDG 10,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR UNIT 16101,Unit 16101: New construction single family residential 2-Story 2 bedroom 2.5 bath with attached 1-car carport. Revision #1: remove EV chargers; adding house panel to MC3; modify foundation design.,2023-08-18,1,2,401 NORTH BLUFF DR UNIT 16101,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13191030,401 NORTH BLUFF DRIVE UNIT 16101,NA,Austin,Texas,United States,2
1300 PIEDMONT AVE,Expedited Review - New Construction of a 2-Story Single Family Res. [4bed 3bath] with Habitable Attic and attached Garage.,2023-08-29,1,2,1300 PIEDMONT AVE,78757,7,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13134250,1300 PIEDMONT AVE,NA,Austin,Texas,United States,2
606 CLIFF DR,New construction single family residential 2-story 4 bedroom 4.5 bath with covered front porch and 2nd floor roof top deck.,2023-07-26,1,2,606 CLIFF DR,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12862872,606 CLIFF DRIVE,NA,Austin,Texas,United States,2
2503 WESTLAKE DR BLDG 2,BLDG 2 UNIT 201 New 3-Story Condo 2 Bed 3.5 Bath attached parking covered patio with uncovered deck,2023-08-07,1,3,2503 WESTLAKE DR BLDG 2,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13185482,2503 WESTLAKE DRIVE BLDG 2,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 211,"New 3 Story Duplex-BLDG 2   1/1.5
Units 211",2023-07-07,2,3,932 GARDNER RD UNIT 211,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13126153,932 GARDNER ROAD UNIT 211,NA,Austin,Texas,United States,2
1004 EASON ST,New 2-story SFR 4 bedrooms 4.5 bathrooms attached garage covered porch and patio,2023-08-01,1,3,1004 EASON ST,78703,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13183430,1004 EASON STREET,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 111,Unit #111 New 3-Story SFR 2 Bed/3 Bath with attached garage and balcony Bldg #1,2023-07-07,1,3,932 GARDNER RD UNIT 111,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124638,932 GARDNER ROAD UNIT 111,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 212,"New 3 Story Duplex-BLDG 2   1/1.5
Units 212",2023-07-07,2,3,932 GARDNER RD UNIT 212,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13126154,932 GARDNER ROAD UNIT 212,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR,"New 2-Story Duplex residential Unit 3101 & 3102 with attached garage
Application sent 1/7/22

Revision approved:

1Rev 1: Deleted EV Chargers 
Revised calculations to reflect deleted EV chargers 

Revisions were made to sheet E601 

Rev 2: Adding house panel to MC1
The original electrical plan did not include a source of power for the irrigation controller. We added a house panel to MC1 to power the irrigation controller. 

Revisions were made to sheets MEP002 E601 E701 

Rev 3: Modify foundation design to utilitze conventional reinforcement 
The original structural plan called for post tension tendons but we would like to revise the plan to use rebar instead. 

Revisions were made to sheets S001 S111 S121 S301",2023-07-27,2,2,401 NORTH BLUFF DR BLDG 3,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13162080,401 NORTH BLUFF DRIVE BLDG 3,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 312,Unit 312: New construction single family residential 3-story 2 bedroom 3 bath (2 bath 2 half bath) with attached 2-car garage 2nd story balcony and covered front porch.,2023-07-06,1,3,932 GARDNER RD UNIT 312,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13121379,932 GARDNER ROAD UNIT 312,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 15,BLDG 15: New 2-story Duplex Unit 15101 & 15102 with 4 bedrooms 5 bathrooms attached carports,2023-08-04,2,2,401 NORTH BLUFF DR BLDG 15,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13184437,401 NORTH BLUFF DRIVE BLDG 15,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 114,Unit #114 New 3-Story SFR 2 Bed/3 Bath with attached garage covered porch and balcony Bldg #1,2023-07-07,1,3,932 GARDNER RD UNIT 114,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124641,932 GARDNER ROAD UNIT 114,NA,Austin,Texas,United States,2
2503 WESTLAKE DR BLDG 1,New 3-story 2 Unit Condo w/ attached garage covered patio wood deck 2 beds 3.5 baths - Building 1 (Unit 101 and Unit 102),2023-08-07,2,3,2503 WESTLAKE DR BLDG 1,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13184055,2503 WESTLAKE DRIVE BLDG 1,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 412,Unit 412: 3-story townhouse w/ porch balcony nd attached garage. 3/2.5,2023-07-07,1,3,932 GARDNER RD UNIT 412,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124908,932 GARDNER ROAD UNIT 412,NA,Austin,Texas,United States,2
1605 CLIFFSIDE DR,New construction single family residential 2-story 4 bedroom 3.5 bath with attached carport covered front porch covered rear patio and uncovered wood deck.,2023-07-19,1,2,1605 CLIFFSIDE DR,78704,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=12941010,1605 CLIFFSIDE DRIVE,NA,Austin,Texas,United States,2
8408 BASIL HAYDEN LN,New construction single family residential 2-story 4 bedroom 2.5 bath with attached 2-car garage covered front porch and covered rear patio.,2023-08-07,1,2,8408 BASIL HAYDEN LN,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13182551,8408 BASIL HAYDEN LANE,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 411,Unit 411: 3-story townhouse w/ porch balcony and attached garage. 3/2.5,2023-07-07,1,3,932 GARDNER RD UNIT 411,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124907,932 GARDNER ROAD UNIT 411,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 112,Unit #112 New 3-Story SFR 2 Bed/2.5 Bath with attached garage and covered porch Bldg #1,2023-07-07,1,3,932 GARDNER RD UNIT 112,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124639,932 GARDNER ROAD UNIT 112,NA,Austin,Texas,United States,2
709 W MILTON ST,Expedited Review: New Construction of a 2-Story single Family Res [3bed 2.5bath] with basement and attached 2-Car Garage Detached 1-story Cabana [1bath] New pool and spa,2023-07-21,1,2,709 W MILTON ST,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13170564,709 WEST MILTON STREET,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR,"Unit 18101: New construction single family residential 2-story 2 bedroom 2.5 bath with attached 1-car carport.

Rev 1: Deleted EV Chargers 
Revised calculations to reflect deleted EV chargers 

Revisions were made to sheet E601 

Rev 2: Adding house panel to MC3
The original electrical plan did not include a source of power for the lift station for the detention pond. We added a house panel to MC3 to run power to the lift station. 

Revisions were made to sheets MEP002 E601 E701 

Rev 3: Modify foundation design to utilitze conventional reinforcement 
The original structural plan called for post tension tendons but we would like to revise the plan to use rebar instead. 

Revisions were made to sheets S001 S111 S121 S301 1",2023-07-31,1,2,401 NORTH BLUFF DR,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13099429,401 NORTH BLUFF DRIVE,NA,Austin,Texas,United States,2
1006 EASON ST,New 3-story 3 bedroom 4.5 bathroom single family residence with habitable basement covered front porch and uncovered 2nd floor balcony.,2023-07-19,1,3,1006 EASON ST,78703,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13174962,1006 EASON STREET,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 413,Unit 413: 3-story townhouse w/ porch balcony nd attached garage. 3/2.5,2023-07-07,1,3,932 GARDNER RD UNIT 413,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124909,932 GARDNER ROAD UNIT 413,NA,Austin,Texas,United States,2
7603 BENNETT AVE BLDG 2,New construction of detached 2 story ADU with attached garage and covered porch,2023-07-06,1,2,7603 BENNETT AVE BLDG 2,78752,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13151249,7603 BENNETT AVE BLDG 2,NA,Austin,Texas,United States,2
3705 LAGOOD DR,New construction of 4/4.5 SFR w/ attached garage covered patio uncovered wood deck and roof terrace,2023-08-03,1,2,3705 LAGOOD DR,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13137506,3705 LAGOOD DRIVE,NA,Austin,Texas,United States,2
2503 WESTLAKE DR BLDG 3,BLDG 3 2 UNITS UNIT 301 and UNIT 302 New 3-Story Condo 4 Bed 7 Bath attached parking covered patio with uncovered decks.,2023-08-07,2,3,2503 WESTLAKE DR BLDG 3,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13185065,2503 WESTLAKE DRIVE BLDG 3,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR UNIT 1101,"New 2-Story SFR 
Slope waiver approved by John Bowman on 1/30/26. No exterior visitability required due to protected tree limitations.",2023-08-05,1,2,401 NORTH BLUFF DR UNIT 1101,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13110643,401 NORTH BLUFF DRIVE UNIT 1101,NA,Austin,Texas,United States,2
401 NORTH BLUFF DR BLDG 9,New 2-story Duplex BLDG 9 - Unit 9101 & 9102 with 4 bedrooms 5 bathrooms and attached carports,2023-08-04,2,2,401 NORTH BLUFF DR BLDG 9,78745,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13185237,401 NORTH BLUFF DRIVE BLDG 9,NA,Austin,Texas,United States,2
5702 LONG CT,Expedited Review - New Construction of a 3-Story Single Family Res. [3bed 3bath] with attached 2-car Garage and Pool.,2023-08-07,1,3,5702 LONG CT,78730,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13187443,5702 LONG CT,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 113,Unit #113 New 3-Story SFR 2 Bed/2.5 Bath with attached garage and covered porch Bldg #1,2023-07-07,1,3,932 GARDNER RD UNIT 113,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13124640,932 GARDNER ROAD UNIT 113,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 311,Unit 311: New construction single family residential 3-story 2 bedroom 2.5 bath with attached 2-car garage and covered front porch.,2023-07-06,1,3,932 GARDNER RD UNIT 311,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13121378,932 GARDNER ROAD UNIT 311,NA,Austin,Texas,United States,2
932 GARDNER RD UNIT 313,Unit 313: New construction single family residential 3-story 2 bedroom 2.5 bath with attached 2-car garage and covered front porch.,2023-07-06,1,3,932 GARDNER RD UNIT 313,78721,3,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13121380,932 GARDNER ROAD UNIT 313,NA,Austin,Texas,United States,2
4825 LAGUNA LN,"New construction of  2 Story 5/5.5 SFR with attached garage covered porch and patio  outdoor living 
Complete app received 11/23",2023-08-03,1,2,4825 LAGUNA LN,78746,8,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13005756,4825 LAGUNA LANE,NA,Austin,Texas,United States,2
