project_name,description,issued_date,housing_units,number_of_floors,original_address_1,original_zip,council_district,completed_date,link,clean_address,clean_address_2,city,state,country,gl_n_chunk_size_length_n,geocodio_latitude,geocodio_longitude,geocodio_accuracy_score,geocodio_accuracy_type,geocodio_address_line_1,geocodio_address_line_2,geocodio_address_line_3,geocodio_address_line_4,geocodio_house_number,geocodio_street,geocodio_unit_type,geocodio_unit_number,geocodio_city,geocodio_state_province,geocodio_nation,geocodio_county,geocodio_postal_code,geocodio_country,geocodio_building_name,geocodio_source,geocodio_stable_address_key,geocodio_match_type
13104 INCLINE DR,Highland 3313 C Left New - 1 Story SFR CONDOMINUM w/ 4 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio FFE: 689.95 Site Plan: SP-2021-0328C Site Plan Exp.: 01/09/27 Max Bld height: 25 Actual Bld height: 25-0 required parking: 2.,2026-02-27,1,1,13104 INCLINE DR,78652,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13661708,13104 INCLINE DRIVE,NA,Austin,Texas,United States,1,30.115131,-97.81314,1,rooftop,13104 Incline Dr,NA,"Manchaca, TX 78652",NA,13104,Incline Dr,NA,NA,Manchaca,TX,NA,Travis County,78652,US,NA,City of Austin (Public Domain),gcod_usnbjpjzyjehnym94va3mbm72nld5,building_centroid
4206 ENDURANCE WAY,*S.M.A.R.T. HOUSING* *GREEN BUILDING* ePlan: Residential Expedited Review - New construction of a 3-Story Townhome [3bed 3.5bath] with Attached Garage. 4206 ENDURANCE WAY,2026-03-16,1,3,4206 ENDURANCE WAY,78731,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13667217,4206 ENDURANCE WAY,NA,Austin,Texas,United States,1,30.31588,-97.75405,1,rooftop,4206 Endurance Way,NA,"Austin, TX 78731",NA,4206,Endurance Way,NA,NA,Austin,TX,NA,Travis County,78731,US,NA,Statewide (CC 0 Texas Natural Resources Information System),gcod_usnwc24sucewf6dherkxftsnu7q22,NA
7421 PULLMAN CV,Eastland S352 D Left New - 1 Story SFR w/ 3 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2,2026-03-18,1,1,7421 PULLMAN CV,78747,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13671712,7421 PULLMAN CV,NA,Austin,Texas,United States,1,30.144274,-97.732539,1,rooftop,7421 Pullman Cv,NA,"Austin, TX 78747",NA,7421,Pullman Cv,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usn9ut3hbj7ek9bfk2b5hzjw6q4e9,building_centroid
4516 LAVA ISLAND DR,Abilene S402 A Left New - 1 Story SFR w/ 2 bedrooms 2 bathrooms attached 2 car garage covered entry porch and patio required parking: 2.,2026-02-13,1,1,4516 LAVA ISLAND DR,78747,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13654511,4516 LAVA ISLAND DRIVE,NA,Austin,Texas,United States,1,30.124716,-97.792966,1,rooftop,4516 Lava Island Dr,NA,"Austin, TX 78747",NA,4516,Lava Island Dr,NA,NA,Austin,TX,NA,Travis County,78747,US,NA,City of Austin (Public Domain),gcod_usn34hmtg35yd7b7c5xfv44mdkamf,building_centroid
1710 S 5TH ST BLDG 3,"ePlan: Residential Expedited Review - New THREE UNIT RES. 
Bldg 3 New construction of a 3-Story SF Res [4bed 3.5Xbath] with attached Carport",2026-01-29,1,3,1710 S 5TH ST BLDG 3,78704,9,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13637613,1710 SOUTH 5TH STREET BLDG 3,NA,Austin,Texas,United States,1,30.249877,-97.76135,1,rooftop,1710 S 5th St,Bldg 3,"Austin, TX 78704",NA,1710,S 5th St,Bldg,3,Austin,TX,NA,Travis County,78704,US,NA,City of Austin (Public Domain),gcod_usnbycpbmw62jezaxf6cv5zmfambe-tllr4pbh3yhng,building_centroid
5156 VILLAGE SQUARE DR BLDG 6,Bldg. 6 Unit B - 3bedroom 1.5 bath - New construction of 2 story 4 unit Townhome.,2026-01-05,1,2,5156 VILLAGE SQUARE DR BLDG 6,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13618501,5156 VILLAGE SQUARE DRIVE BLDG 6,NA,Austin,Texas,United States,1,30.187483,-97.743183,1,rooftop,5156 Village Square Dr,Bldg 6,"Austin, TX 78744",NA,5156,Village Square Dr,Bldg,6,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usnb3q9p945xlvg6gh62h4ecvq2zh-wbkfl4eun2m4f,building_centroid
1416 RAMBLING ROSE RD,New construction of a 2-story single family dwelling in a condo regime. 3 Bedroom 2.5 Bathroom Attached 2 car Garage,2026-02-03,1,2,1416 RAMBLING ROSE RD,78745,5,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13648199,1416 RAMBLING ROSE ROAD,NA,Austin,Texas,United States,1,30.186232,-97.809289,1,rooftop,1416 Rambling Rose Rd,NA,"Austin, TX 78745",NA,1416,Rambling Rose Rd,NA,NA,Austin,TX,NA,Travis County,78745,US,NA,City of Austin (Public Domain),gcod_usn8fzrnnuhgqmefy8tsphkrtadkf,building_centroid
8517 DONGAN DR,New 2 story Single Family Home. 4bedroom 3.5 bathroom with attached garage covered porch and patio,2026-01-30,1,2,8517 DONGAN DR,78744,2,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13646945,8517 DONGAN DRIVE,NA,Austin,Texas,United States,1,30.140571,-97.714105,1,rooftop,8517 Dongan Dr,NA,"Austin, TX 78744",NA,8517,Dongan Dr,NA,NA,Austin,TX,NA,Travis County,78744,US,NA,City of Austin (Public Domain),gcod_usndgft7pctuzlqd8yu3kgj6lme7g,building_centroid
6709 WILLAMETTE DR,New 2-story single family residence attached garage rear covered patio 4 bedroom 4.5 bathroom.,2026-02-04,1,2,6709 WILLAMETTE DR,78723,1,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13640205,6709 WILLAMETTE DRIVE,NA,Austin,Texas,United States,1,30.315036,-97.675631,1,rooftop,6709 Willamette Dr,NA,"Austin, TX 78723",NA,6709,Willamette Dr,NA,NA,Austin,TX,NA,Travis County,78723,US,NA,City of Austin (Public Domain),gcod_usnf9ga5776auw4gy86wb3y6bjwa5,building_centroid
1204 DALE DR BLDG 1,New construction 3-unit use single-family residential 3-story 2 bedroom 2.5 bath with covered front entry covered side entry and 2nd story balcony.,2026-01-13,1,3,1204 DALE DR BLDG 1,78757,4,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=13631526,1204 DALE DRIVE BLDG 1,NA,Austin,Texas,United States,1,30.351877000000002,-97.717065,1,rooftop,1204 Dale Dr,Bldg 1,"Austin, TX 78757",NA,1204,Dale Dr,Bldg,1,Austin,TX,NA,Travis County,78757,US,NA,City of Austin (Public Domain),gcod_usna62gtjm2u77qe4w55scap5edlh-9umb9c3zku2rh,building_centroid
2300 ENFIELD RD UNIT 202,"Unit #202 New 3-story Duplex Condominium Residence with attached garages covered balconies. *DUPLEX CONDOMINIUM RESIDENCE*

3/30/26 SM - Per Marvin Lewis a Fire suppression system is not required for this unit per the site plan.",2026-01-26,2,3,2300 ENFIELD RD UNIT 202,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11852580,2300 ENFIELD ROAD UNIT 202,NA,Austin,Texas,United States,1,30.28799,-97.767294,1,rooftop,2300 Enfield Rd,Unit 202,"Austin, TX 78703",NA,2300,Enfield Rd,Unit,202,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usn7xwzzr83bufuda6l64gkzkdzuf-3frdk8ln94jpb,building_centroid
2300 ENFIELD RD UNIT 208,Unit #208 New 3-story Duplex Condominium Residence with attached garages covered balconies. *DUPLEX CONDOMINIUM RESIDENCE*,2026-01-26,1,3,2300 ENFIELD RD UNIT 208,78703,10,NA,https://abc.austintexas.gov/web/permit/public-search-other?t_detail=1&t_selected_folderrsn=11852953,2300 ENFIELD ROAD UNIT 208,NA,Austin,Texas,United States,1,30.28799,-97.767294,1,rooftop,2300 Enfield Rd,Unit 208,"Austin, TX 78703",NA,2300,Enfield Rd,Unit,208,Austin,TX,NA,Travis County,78703,US,NA,City of Austin (Public Domain),gcod_usn7xwzzr83bufuda6l64gkzkdzuf-mrsb6l3msyj7f,building_centroid
